Iteration	Posterior	Likelihood	Prior	neo_beta	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_beta	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
0	-617.3247	-890.0265	272.7019	0.2327478	0.642793	0.177094	0.123811	0.0563014	1.738873	2.145991	0.5640986	0.254557	0.666778	0.0308527	0.0478121
6	-607.3914	-880.5598	273.1684	0.0846057	0.386199	0.432648	0.0739147	0.107238	1.577392	1.813451	0.2546273	0.150868	0.698688	0.0797057	0.0707385
12	-613.6447	-884.8976	271.2529	0.06734417	0.216139	0.511264	0.175617	0.0969804	1.558503	2.008049	1.857398	0.558194	0.399724	0.00161234	0.04047
18	-609.9548	-882	272.0452	0.09597117	0.12914	0.46477	0.329502	0.0765882	1.705363	1.557953	1.857398	0.321882	0.472217	0.0264201	0.179481
24	-607.9079	-878.7828	270.8749	0.05124404	0.12914	0.46477	0.329502	0.0765882	1.732997	1.510292	2.753174	0.039395	0.43758	0.4298	0.0932246
30	-615.3886	-889.26	273.8714	0.1652598	0.0649027	0.233583	0.031499	0.670015	1.64243	1.424833	0.4623427	0.0705448	0.517821	0.27336	0.138274
36	-628.9108	-901.5365	272.6257	0.1941707	0.257029	0.305868	0.188705	0.248398	1.54206	2.053421	0.9386959	0.0720088	0.499065	0.287783	0.141143
42	-627.0595	-897.9701	270.9106	0.07831181	0.079133	0.485075	0.37128	0.0645118	1.531843	1.966964	2.658974	0.230191	0.119196	0.436521	0.214092
48	-626.1931	-891.5477	265.3546	0.1335087	0.233053	0.46394	0.291379	0.0116278	1.091395	3.719365	12.34273	0.248068	0.268316	0.0756913	0.407925
54	-633.2908	-904.6756	271.3848	1.2912	0.531386	0.420518	0.0285872	0.0195082	1.5432	2.626634	0.3231059	0.33032	0.39082	0.122003	0.156858
