Iteration	Posterior	Likelihood	Prior	neo_beta	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_beta	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
0	-626.2817	-898.7442	272.4625	0.3007649	0.607613	0.0683872	0.116712	0.207288	2.780222	0.3261388	1.529678	0.108212	0.591695	0.0183072	0.281786
6	-633.7285	-905.6155	271.887	0.4731736	0.400409	0.101405	0.248036	0.25015	2.728752	0.3261388	2.159174	0.175293	0.671211	0.0429647	0.110532
12	-630.336	-903.8486	273.5126	0.4731736	0.540572	0.0926947	0.33486	0.0318737	2.617225	0.3873333	0.5386098	0.270718	0.210827	0.314225	0.20423
18	-627.2076	-896.9253	269.7177	0.7992882	0.749917	0.059115	0.162817	0.0281507	2.617225	0.412835	6.087096	0.468329	0.140089	0.328345	0.0632368
24	-615.2014	-884.4463	269.2449	0.3404834	0.631923	0.0833557	0.236566	0.0481548	2.617225	0.3195603	8.644147	0.323426	0.162311	0.337734	0.176529
30	-614.8693	-887.5706	272.7013	0.4482223	0.591085	0.112353	0.24463	0.0519321	2.624481	0.3393972	1.326485	0.229452	0.335958	0.401098	0.0334916
36	-617.6625	-890.2125	272.55	0.4572475	0.335668	0.038852	0.243953	0.381527	2.497382	0.393925	1.686086	0.193797	0.313927	0.387888	0.104388
42	-620.8009	-889.2851	268.4841	0.2845499	0.588721	0.0147698	0.140104	0.256405	2.538715	0.424416	12.26544	0.0523332	0.2473	0.570852	0.129515
48	-603.7673	-877.7532	273.9859	0.2845499	0.275603	0.301947	0.252899	0.169551	2.50336	0.452648	0.3080227	0.0489284	0.434486	0.451315	0.0652711
54	-615.2807	-886.6379	271.3572	0.2084669	0.343298	0.376113	0.156041	0.124547	2.64827	0.39965	3.429784	0.252046	0.234628	0.270697	0.24263
60	-624.6755	-895.6382	270.9627	0.1580095	0.78999	0.133068	0.0401127	0.0368287	2.011386	1.326649	4.024002	0.626367	0.0823527	0.0685329	0.222748
66	-617.4637	-888.441	270.9773	0.2353644	0.719864	0.110082	0.139587	0.0304669	1.879502	1.428749	4.1534	0.663048	0.192913	0.0723641	0.0716749
72	-620.5466	-893.0396	272.4931	0.3332316	0.418531	0.102314	0.253419	0.225736	1.912682	1.140987	2.08863	0.476916	0.0938252	0.352022	0.0772368
78	-616.1494	-888.2222	272.0728	0.2791115	0.701881	0.0334479	0.201905	0.0627662	2.037511	1.105956	2.608969	0.545131	0.0731527	0.243007	0.138709
84	-609.5561	-881.5557	271.9996	0.2791115	0.701881	0.0334479	0.201905	0.0627662	2.008105	0.9725856	2.995109	0.305487	0.12186	0.494921	0.0777315
90	-620.9226	-894.4319	273.5093	0.4981486	0.526289	0.0398304	0.395231	0.0386495	2.664182	0.3714566	0.4597053	0.166511	0.319805	0.500902	0.0127824
96	-623.0123	-894.3414	271.3291	0.4981486	0.24855	0.121023	0.512992	0.117435	2.65345	0.3714566	3.164155	0.409164	0.39262	0.0411332	0.157084
102	-616.98	-888.8895	271.9095	0.5474983	0.393095	0.216448	0.222675	0.167782	2.573923	0.3807091	2.305076	0.54183	0.225986	0.0492639	0.18292
108	-617.0241	-889.8394	272.8153	0.6449279	0.409832	0.0506713	0.364571	0.174926	2.368314	0.4229419	1.320896	0.396201	0.424245	0.0360231	0.143531
114	-613.7828	-886.4176	272.6347	0.2953506	0.286929	0.358985	0.187435	0.166651	2.302828	0.4229419	1.996003	0.688681	0.14346	0.0484661	0.119392
120	-615.4286	-889.6477	274.219	0.2806247	0.567067	0.0873515	0.336699	0.00888202	2.051884	0.9184984	0.2978087	0.133006	0.697783	0.160636	0.00857398
126	-606.129	-878.6813	272.5523	0.1872819	0.919506	0.0173995	0.0486923	0.0144023	1.928451	0.918829	2.298119	0.258455	0.347921	0.373679	0.0199452
132	-605.9615	-877.5413	271.5798	0.1872819	0.720492	0.0194221	0.073484	0.186602	1.870234	1.067462	3.772395	0.196974	0.652194	0.146275	0.00455696
138	-598.5714	-872.6706	274.0992	0.1872819	0.684766	0.0166694	0.0779172	0.220647	1.733955	1.229398	0.4148143	0.146957	0.781845	0.0351235	0.0360742
144	-614.7875	-888.4681	273.6806	0.1533633	0.490804	0.0119478	0.055847	0.441401	2.075203	0.9731365	0.7095474	0.191062	0.698666	0.057061	0.0532116
150	-606.5065	-879.6531	273.1466	0.1533633	0.956351	0.01095	0.00606027	0.026639	2.08544	0.9414881	1.263333	0.125954	0.467167	0.393708	0.0131709
156	-607.1216	-881.0425	273.9209	0.1533633	0.869932	0.0426041	0.0162099	0.0712537	2.322079	0.6986606	0.4472612	0.18648	0.532379	0.27204	0.00910069
162	-610.5913	-884.2883	273.697	0.149176	0.784915	0.0190182	0.0211893	0.174877	2.3593	0.5914036	0.6668767	0.201225	0.40823	0.29355	0.0969937
168	-622.5099	-896.4925	273.9825	0.149176	0.616205	0.0265007	0.0295261	0.327768	2.129043	0.77151	0.5235914	0.36351	0.463228	0.0816573	0.0916042
174	-606.0764	-879.5205	273.4441	0.149176	0.867179	0.00890159	0.0138218	0.110097	2.172977	0.77151	0.9991659	0.0711132	0.568006	0.339738	0.021143
180	-621.7388	-892.7095	270.9708	0.2157263	0.810358	0.0238165	0.0369808	0.128845	2.352017	0.77151	4.630702	0.265381	0.412164	0.233064	0.0893897
186	-624.417	-898.4081	273.9911	0.2147857	0.731439	0.0468899	0.143787	0.0778841	2.354267	0.7363208	0.3958246	0.0612116	0.774835	0.124053	0.0399008
192	-627.6302	-898.1673	270.5371	0.4545955	0.648296	0.0170156	0.207731	0.126957	2.723317	0.3742499	4.664016	0.536643	0.379714	0.0526261	0.0310179
198	-630.1055	-902.9873	272.8818	0.4545955	0.385887	0.0429419	0.495602	0.0755692	2.627786	0.345882	1.129959	0.485414	0.381384	0.0488572	0.0843452
204	-624.1424	-897.8646	273.7222	0.4993506	0.670861	0.0317594	0.257812	0.0395678	1.595626	1.520022	0.423287	0.245724	0.58008	0.129364	0.0448307
210	-605.6498	-879.6617	274.0119	0.2348654	0.566289	0.0384344	0.196169	0.199107	1.800929	1.264982	0.423287	0.421558	0.444854	0.0992075	0.03438
216	-607.1652	-881.306	274.1408	0.4209419	0.66544	0.00833257	0.257125	0.069103	1.802344	0.9997651	0.4976641	0.454014	0.236458	0.230185	0.0793429
222	-616.7981	-890.6239	273.8258	0.349288	0.446942	0.0296206	0.330478	0.192959	2.326062	0.780053	0.5368041	0.0961008	0.661269	0.225468	0.0171624
228	-628.8007	-902.1159	273.3152	0.2821326	0.7762	0.0105053	0.14486	0.0684353	2.018078	0.8549534	1.328052	0.207677	0.577006	0.0511674	0.164149
234	-616.7016	-887.8315	271.1299	0.3148381	0.50454	0.0180306	0.442378	0.0350511	1.81697	1.130241	4.698146	0.386271	0.218305	0.341936	0.0534876
240	-615.2474	-889.0413	273.7939	0.3756538	0.422404	0.0150953	0.408221	0.15428	1.854675	1.194537	0.6148986	0.622271	0.16704	0.169762	0.0409271
246	-609.0127	-882.5384	273.5258	0.6116433	0.63974	0.0220583	0.309146	0.0290554	1.785522	1.411609	0.45979	0.469723	0.336624	0.132807	0.060847
252	-604.1241	-877.9363	273.8122	0.2039543	0.856836	0.00810348	0.124387	0.010674	1.707563	1.541855	0.3203708	0.0939918	0.807588	0.0344693	0.0639511
258	-603.5498	-877.0592	273.5094	0.3906337	0.53145	0.0639218	0.402594	0.00203447	1.912756	1.07365	0.9492953	0.068218	0.60144	0.0256705	0.304672
264	-604.9209	-876.6427	271.7218	0.3072071	0.447568	0.117146	0.433458	0.00182771	1.797823	1.357872	3.063471	0.33251	0.407033	0.0542652	0.206191
270	-616.116	-888.2486	272.1325	0.3072071	0.56907	0.0706934	0.359292	0.000944618	1.797823	1.357872	2.414284	0.0938019	0.371564	0.481661	0.0529729
276	-613.4403	-886.3254	272.8852	0.2880816	0.776735	0.0898912	0.128323	0.00505014	1.520447	1.801168	1.092525	0.426942	0.0931011	0.373236	0.106721
282	-611.3638	-883.7815	272.4178	0.4635557	0.344857	0.377571	0.25636	0.0212122	2.018465	0.9971417	2.110075	0.910722	0.0693476	0.0194815	0.000448912
288	-600.9524	-871.9004	270.948	0.5850637	0.31198	0.477818	0.180464	0.029738	1.834964	1.558053	3.467814	0.852968	0.0204607	0.126151	0.000420444
294	-610.5567	-881.6604	271.1038	0.6666552	0.421673	0.059005	0.479128	0.040194	1.524546	1.607286	3.470134	0.854359	0.0296867	0.112693	0.00326118
300	-646.6042	-917.9403	271.3361	0.1815207	0.190294	0.460622	0.277601	0.0714826	1.803677	1.800392	2.66209	0.329032	0.278949	0.183735	0.208284
306	-638.2607	-910.791	272.5304	0.7814219	0.389865	0.363998	0.0610862	0.185052	1.569299	1.984022	0.6811685	0.200569	0.322274	0.436754	0.0404025
312	-625.4772	-894.2	268.7228	0.878479	0.411661	0.149768	0.0256357	0.412936	1.767879	1.703989	7.807805	0.532828	0.0523779	0.322947	0.0918469
318	-607.7254	-879.4747	271.7492	0.9489645	0.486719	0.0508597	0.0505905	0.411831	1.646615	1.55027	1.938811	0.568355	0.155907	0.13412	0.141618
324	-601.6759	-873.2862	271.6103	0.5305158	0.677378	0.0549687	0.0490927	0.218561	1.682726	1.929575	1.938811	0.610107	0.141376	0.175392	0.0731254
330	-603.8371	-873.7832	269.9461	0.4187209	0.542612	0.0432135	0.32459	0.0895848	1.679669	1.400034	7.047774	0.0910472	0.84136	0.00726125	0.0603318
336	-606.7569	-876.7968	270.0399	0.328495	0.669831	0.21538	0.0889927	0.0257959	1.730185	1.764509	5.507194	0.18777	0.61549	0.113593	0.0831474
342	-605.3126	-879.0979	273.7854	0.3808538	0.47616	0.192075	0.30258	0.0291855	1.684485	1.552964	0.2960454	0.227368	0.336285	0.137549	0.298799
348	-605.4294	-877.6174	272.188	0.917662	0.359823	0.169411	0.468768	0.00199766	1.560323	2.327829	0.3531464	0.1574	0.52328	0.122688	0.196632
354	-618.9607	-889.7085	270.7478	0.917662	0.330209	0.0300877	0.638477	0.00122711	1.631844	2.085623	2.31528	0.265815	0.384549	0.238404	0.111231
360	-629.6444	-901.36	271.7156	0.3832538	0.377915	0.163887	0.455425	0.00277268	1.632104	1.798988	2.31528	0.388475	0.116713	0.332253	0.162559
366	-616.514	-888.6723	272.1582	0.4442878	0.678618	0.046135	0.272118	0.00312852	1.69084	1.394398	2.31528	0.546898	0.113123	0.228038	0.111941
372	-610.4794	-881.2312	270.7518	0.4442878	0.669081	0.131731	0.165916	0.033272	1.813681	1.278594	4.943755	0.685578	0.152261	0.0966666	0.0654946
378	-604.4941	-876.0523	271.5582	0.4553503	0.482038	0.22592	0.234981	0.0570615	2.093643	1.278594	2.820869	0.580428	0.240444	0.0467399	0.132388
384	-612.7156	-885.4644	272.7488	0.619952	0.639279	0.026579	0.213941	0.120201	1.384405	2.3033	0.2181187	0.705517	0.0892259	0.0534072	0.15185
390	-613.7523	-885.588	271.8357	0.551575	0.507795	0.126744	0.279067	0.0863929	1.900499	1.421762	2.2744	0.700515	0.0714262	0.00170787	0.226351
396	-621.3515	-893.2105	271.8589	0.5335575	0.494926	0.148594	0.258099	0.0983815	1.820854	1.057662	3.063444	0.666815	0.208363	0.000917073	0.123905
402	-617.2778	-890.4108	273.1331	0.363621	0.490457	0.121458	0.263917	0.124168	1.664285	1.384065	1.235671	0.034319	0.56101	0.00405693	0.400614
408	-629.6118	-901.4755	271.8637	0.7353334	0.422053	0.22576	0.271414	0.0807732	1.545547	2.103562	1.235671	0.353159	0.394629	0.0310921	0.22112
414	-632.624	-905.6925	273.0685	0.4391154	0.624201	0.00356194	0.310648	0.061589	1.594742	1.982907	0.4793247	0.35225	0.39861	0.234756	0.0143833
420	-635.6173	-906.5506	270.9333	0.6043619	0.425801	0.282334	0.255336	0.0365296	1.929819	1.188832	4.179724	0.786123	0.031323	0.163674	0.0188803
426	-626.9115	-899.672	272.7605	0.5481616	0.587793	0.0462665	0.293246	0.0726941	1.928003	1.004778	1.665486	0.549904	0.0540465	0.355127	0.0409225
432	-622.1966	-893.7321	271.5355	0.4443264	0.692034	0.0797737	0.222797	0.00539523	1.562234	3.051898	0.2814698	0.0942788	0.630748	0.108427	0.166546
438	-618.042	-890.4371	272.3951	0.4498767	0.477566	0.0444622	0.475225	0.0027469	1.60129	2.500272	0.2814698	0.151676	0.44021	0.214884	0.193231
444	-608.0744	-880.6643	272.5898	0.4310738	0.553136	0.0088193	0.4375	0.00054486	1.370714	2.535498	0.2672244	0.235497	0.330747	0.275441	0.158315
450	-606.7651	-879.1389	272.3738	0.4310738	0.826463	0.0393319	0.133347	0.000857883	1.518194	2.382764	0.6374364	0.132277	0.686184	0.148706	0.0328331
456	-623.6689	-897.8419	274.173	0.2757906	0.82995	0.0394978	0.129691	0.000861502	1.480835	1.466096	0.2657546	0.0455424	0.603916	0.281177	0.069364
462	-603.044	-875.8513	272.8073	0.3024371	0.670003	0.0842632	0.244506	0.00122772	1.35873	1.980945	1.061378	0.0862853	0.547236	0.283256	0.0832229
468	-609.1106	-881.9351	272.8246	0.798921	0.33013	0.0947633	0.573238	0.00186826	1.696679	1.76974	0.5617433	0.0478476	0.689971	0.253925	0.00825649
474	-621.6244	-894.7825	273.1581	0.3170822	0.322364	0.262899	0.413553	0.00118427	1.693117	2.005468	0.3217266	0.619499	0.256123	0.0678098	0.056569
480	-625.3576	-896.1613	270.8036	0.2747143	0.419549	0.121099	0.458511	0.000840756	1.607089	2.005468	3.440862	0.602068	0.0651592	0.27043	0.0623432
486	-621.0294	-891.7176	270.6883	0.4279359	0.440028	0.353417	0.205485	0.00106972	1.606868	2.312673	2.67259	0.417827	0.085582	0.347129	0.149462
492	-618.147	-889.0252	270.8782	0.7607171	0.28063	0.428402	0.255414	0.0355546	1.45904	2.064061	2.67259	0.194409	0.617406	0.137011	0.0511742
498	-617.9636	-889.7034	271.7399	1.159256	0.448727	0.379338	0.161282	0.0106531	1.566579	2.227423	0.7206524	0.277905	0.46108	0.195854	0.0651604
504	-629.5127	-901.3226	271.8099	0.1104776	0.475854	0.402271	0.110879	0.0109963	1.704327	2.291535	1.004253	0.613962	0.216269	0.127387	0.0423814
510	-611.6618	-883.8649	272.2031	0.1104776	0.237562	0.251786	0.126613	0.38404	1.513341	2.594269	0.2985833	0.560729	0.284222	0.116342	0.0387067
516	-608.6928	-880.2839	271.5911	1.015287	0.148201	0.478247	0.332958	0.0405937	1.302353	2.594269	0.694383	0.31363	0.318112	0.262805	0.105454
522	-607.9458	-879.4423	271.4965	0.4135024	0.608028	0.276748	0.0923842	0.0228394	1.292097	2.68736	1.262975	0.496624	0.274314	0.142089	0.0869727
528	-617.6669	-884.7268	267.0599	1.705722	0.215471	0.33897	0.252016	0.193543	1.223417	3.902896	2.879376	0.496624	0.274314	0.142089	0.0869727
534	-625.9031	-895.7399	269.8369	3.229114	0.361958	0.0863377	0.186602	0.365102	1.727465	1.98418	1.324836	0.504177	0.115202	0.240022	0.140599
540	-620.1074	-889.6284	269.5209	3.03137	0.542848	0.123123	0.161557	0.172472	1.695967	1.04067	3.865673	0.421848	0.162933	0.216367	0.198852
546	-609.8296	-879.1243	269.2947	0.6861516	0.60124	0.228164	0.0160752	0.154521	1.958713	1.133581	8.361614	0.522191	0.0993868	0.239719	0.138704
552	-606.6659	-877.9299	271.264	1.370029	0.712101	0.0103643	0.0513314	0.226203	2.341762	0.6509109	2.380306	0.600452	0.0440492	0.109263	0.246236
558	-611.1186	-882.9944	271.8757	0.4735615	0.176832	0.492787	0.126238	0.204143	2.022	1.2309	2.500388	0.575509	0.0666508	0.0910083	0.266831
564	-605.7208	-879.5455	273.8247	0.212651	0.808376	0.0530979	0.133985	0.00454073	1.939452	1.373114	0.279839	0.539333	0.273131	0.0852875	0.102248
570	-621.6472	-895.3477	273.7005	0.212651	0.277125	0.200305	0.505441	0.0171293	2.064178	1.373114	0.227769	0.185247	0.228373	0.0890592	0.497321
576	-623.8253	-897.2421	273.4168	0.4437458	0.197237	0.68455	0.078008	0.0402051	1.613102	1.83115	0.227769	0.267296	0.470669	0.0397977	0.222237
582	-605.0292	-878.5247	273.4955	0.4877704	0.680313	0.162589	0.138719	0.0183787	1.45514	1.83115	0.1798913	0.470365	0.379663	0.0755811	0.0743915
588	-609.5654	-882.9555	273.3901	0.3410343	0.612503	0.165224	0.203597	0.0186765	1.427122	1.746393	0.7397218	0.453603	0.236538	0.156158	0.1537
594	-623.9656	-895.159	271.1934	0.5034694	0.471608	0.103139	0.286932	0.138321	2.09493	0.9957129	3.953324	0.504755	0.326658	0.121089	0.047498
600	-633.0142	-906.5252	273.511	0.704161	0.467661	0.232184	0.194654	0.105501	2.184339	1.033432	0.4190842	0.169769	0.711576	0.079781	0.0388736
606	-636.9723	-910.6103	273.6381	0.369684	0.437258	0.136479	0.331953	0.0943103	2.253905	1.196007	0.3632128	0.137936	0.629679	0.200801	0.0315845
612	-618.4465	-888.9893	270.5428	0.4924009	0.500618	0.0677351	0.0849705	0.346676	2.253905	0.9187327	5.204215	0.60226	0.111663	0.216628	0.0694492
618	-626.4798	-898.6296	272.1498	0.6655377	0.404873	0.051046	0.502952	0.0411285	2.290048	1.147499	1.632647	0.141187	0.350481	0.432654	0.0756779
624	-618.6699	-892.7065	274.0366	0.3760399	0.294552	0.0800604	0.545007	0.0803803	2.214542	0.8361752	0.3600804	0.485358	0.113482	0.349417	0.051744
630	-604.9299	-877.2055	272.2756	0.4960914	0.402602	0.0840585	0.372188	0.141152	2.110669	1.162904	1.89756	0.428499	0.119892	0.44054	0.0110688
636	-614.0106	-885.2288	271.2182	0.2969611	0.552838	0.0101871	0.362154	0.0748206	2.177337	1.022792	4.012829	0.586221	0.060038	0.157579	0.196161
642	-632.1484	-902.5885	270.4402	0.2648946	0.645956	0.148034	0.113514	0.0924959	2.184521	1.103819	5.562772	0.564792	0.188808	0.18231	0.064091
648	-640.4516	-913.7914	273.3398	0.1838166	0.247431	0.333304	0.211008	0.208258	2.244668	0.763672	1.101942	0.0304649	0.729607	0.199593	0.0403351
654	-614.5596	-887.7441	273.1844	0.46539	0.503333	0.0776432	0.199759	0.219265	2.256342	0.9867225	0.9530663	0.282035	0.405543	0.109049	0.203373
